source,target,fraction,source_description,target_description,contingency
AD,AA,0.125,Agree to carry out an act requested or proposed by other.,Answer in the affirmative to yes/no question.,0
AD,AN,0.125,Agree to carry out an act requested or proposed by other.,Answer in the negative to yes/no question,0
AD,RP,0.25,Agree to carry out an act requested or proposed by other.,Request propose or suggest an action for hearer or for hearer and speaker.,1
AD,TO,0.125,Agree to carry out an act requested or proposed by other.,Mark transfer of object to hearer,1
AD,YY,0.375,Agree to carry out an act requested or proposed by other.,Make a word-like utterance without clear function.,0
ST,OO,0.12781954887218,Make a declarative statement.,Unintelligible vocalization.,0
ST,RT,0.057644110275689,Make a declarative statement.,Repeat or imitate other's utterance.,1
ST,YY,0.62406015037594,Make a declarative statement.,Make a word-like utterance without clear function.,0
YA,AA,0.2,Answer a question with a yes/no question.,Answer in the affirmative to yes/no question.,1
YA,RT,0.066666666666667,Answer a question with a yes/no question.,Repeat or imitate other's utterance.,0
YA,TO,0.066666666666667,Answer a question with a yes/no question.,Mark transfer of object to hearer,0
YA,YY,0.666666666666667,Answer a question with a yes/no question.,Make a word-like utterance without clear function.,0
YQ,AA,0.114942528735632,Ask a yes/no question.,Answer in the affirmative to yes/no question.,1
YQ,OO,0.080459770114943,Ask a yes/no question.,Unintelligible vocalization.,0
YQ,YY,0.568965517241379,Ask a yes/no question.,Make a word-like utterance without clear function.,0
GR,AC,0.071428571428572,Give reason/ justify a request for an action refusal or prohibition,Answer calls/ show attentiveness to communications.,1
GR,OO,0.142857142857143,Give reason/ justify a request for an action refusal or prohibition,Unintelligible vocalization.,0
GR,PF,0.214285714285714,Give reason/ justify a request for an action refusal or prohibition,Prohibit/forbid/protest hearer's performance of an act,1
GR,RD,0.071428571428572,Give reason/ justify a request for an action refusal or prohibition,Refuse to carry out an act requested or proposed by other.,1
GR,RP,0.142857142857143,Give reason/ justify a request for an action refusal or prohibition,Request propose or suggest an action for hearer or for hearer and speaker.,1
GR,YY,0.357142857142857,Give reason/ justify a request for an action refusal or prohibition,Make a word-like utterance without clear function.,0
PF,OO,0.08421052631579,Prohibit/forbid/protest hearer's performance of an act,Unintelligible vocalization.,0
PF,PF,0.147368421052632,Prohibit/forbid/protest hearer's performance of an act,Prohibit/forbid/protest hearer's performance of an act,1
PF,YY,0.568421052631579,Prohibit/forbid/protest hearer's performance of an act,Make a word-like utterance without clear function.,0
RP,OO,0.110344827586207,Request propose or suggest an action for hearer or for hearer and speaker.,Unintelligible vocalization.,0
RP,RD,0.052873563218391,Request propose or suggest an action for hearer or for hearer and speaker.,Refuse to carry out an act requested or proposed by other.,1
RP,YY,0.659770114942529,Request propose or suggest an action for hearer or for hearer and speaker.,Make a word-like utterance without clear function.,0
RT,OO,0.148148148148148,Repeat or imitate other's utterance.,Unintelligible vocalization.,0
RT,YY,0.666666666666667,Repeat or imitate other's utterance.,Make a word-like utterance without clear function.,0
SI,OO,0.098039215686275,State intent to carry out act by speaker.,Unintelligible vocalization.,0
SI,YY,0.725490196078431,State intent to carry out act by speaker.,Make a word-like utterance without clear function.,0
RQ,AD,0.070921985815603,Yes/no question or suggestion about hearer's wishes and intentions,Agree to carry out an act requested or proposed by other.,1
RQ,OO,0.085106382978723,Yes/no question or suggestion about hearer's wishes and intentions,Unintelligible vocalization.,0
RQ,RD,0.092198581560284,Yes/no question or suggestion about hearer's wishes and intentions,Refuse to carry out an act requested or proposed by other.,1
RQ,YY,0.652482269503546,Yes/no question or suggestion about hearer's wishes and intentions,Make a word-like utterance without clear function.,0
SS,PR,0.1,Signal to start performing an act such as running or rolling a ball,Perform verbal move in game.,1
SS,ST,0.15,Signal to start performing an act such as running or rolling a ball,Make a declarative statement.,1
SS,YY,0.7,Signal to start performing an act such as running or rolling a ball,Make a word-like utterance without clear function.,0
MK,MK,0.061538461538462,Mark occurrence of event (thank greet apologize congratulate etc.).,Mark occurrence of event (thank greet apologize congratulate etc.).,1
MK,OO,0.112820512820513,Mark occurrence of event (thank greet apologize congratulate etc.).,Unintelligible vocalization.,0
MK,YY,0.682051282051282,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a word-like utterance without clear function.,0
QN,OO,0.072463768115942,Ask a product-question (wh-question),Unintelligible vocalization.,0
QN,SA,0.202898550724638,Ask a product-question (wh-question),Answer a wh-question with a statement.,1
QN,YY,0.591304347826087,Ask a product-question (wh-question),Make a word-like utterance without clear function.,0
CN,CN,0.5,Count.,Count.,1
CN,YY,0.5,Count.,Make a word-like utterance without clear function.,0
TO,RD,0.083333333333333,Mark transfer of object to hearer,Refuse to carry out an act requested or proposed by other.,0
TO,ST,0.083333333333333,Mark transfer of object to hearer,Make a declarative statement.,1
TO,YY,0.75,Mark transfer of object to hearer,Make a word-like utterance without clear function.,0
AB,MK,0.057142857142857,Approve of appropriate behavior.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
AB,OO,0.142857142857143,Approve of appropriate behavior.,Unintelligible vocalization.,0
AB,TO,0.085714285714286,Approve of appropriate behavior.,Mark transfer of object to hearer,1
AB,YY,0.657142857142857,Approve of appropriate behavior.,Make a word-like utterance without clear function.,0
AC,OO,0.0625,Answer calls/ show attentiveness to communications.,Unintelligible vocalization.,0
AC,YY,0.8375,Answer calls/ show attentiveness to communications.,Make a word-like utterance without clear function.,0
EQ,YY,0.80952380952381,Eliciting question (e.g. hmm?).,Make a word-like utterance without clear function.,0
ET,MK,0.0625,Express enthusiasm for hearer's performance.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
ET,OO,0.125,Express enthusiasm for hearer's performance.,Unintelligible vocalization.,0
ET,QN,0.0625,Express enthusiasm for hearer's performance.,Ask a product-question (wh-question),1
ET,RP,0.0625,Express enthusiasm for hearer's performance.,Request propose or suggest an action for hearer or for hearer and speaker.,1
ET,ST,0.0625,Express enthusiasm for hearer's performance.,Make a declarative statement.,1
ET,YY,0.625,Express enthusiasm for hearer's performance.,Make a word-like utterance without clear function.,0
OO,OO,0.160714285714286,Unintelligible vocalization.,Unintelligible vocalization.,0
OO,RP,0.053571428571429,Unintelligible vocalization.,Request propose or suggest an action for hearer or for hearer and speaker.,1
OO,TO,0.053571428571429,Unintelligible vocalization.,Mark transfer of object to hearer,1
OO,YY,0.625,Unintelligible vocalization.,Make a word-like utterance without clear function.,0
PD,MK,0.333333333333333,Promise.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
PD,YY,0.666666666666667,Promise.,Make a word-like utterance without clear function.,0
PR,OO,0.166666666666667,Perform verbal move in game.,Unintelligible vocalization.,0
PR,PR,0.058823529411765,Perform verbal move in game.,Perform verbal move in game.,1
PR,RP,0.058823529411765,Perform verbal move in game.,Request propose or suggest an action for hearer or for hearer and speaker.,1
PR,YY,0.617647058823529,Perform verbal move in game.,Make a word-like utterance without clear function.,0
XA,OO,0.088888888888889,Exhibit attentiveness to hearer.,Unintelligible vocalization.,0
XA,TO,0.066666666666667,Exhibit attentiveness to hearer.,Mark transfer of object to hearer,1
XA,YY,0.711111111111111,Exhibit attentiveness to hearer.,Make a word-like utterance without clear function.,0
YY,MK,0.0625,Make a word-like utterance without clear function.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
YY,OO,0.0625,Make a word-like utterance without clear function.,Unintelligible vocalization.,0
YY,RT,0.0625,Make a word-like utterance without clear function.,Repeat or imitate other's utterance.,0
YY,YY,0.8125,Make a word-like utterance without clear function.,Make a word-like utterance without clear function.,0
AP,OO,0.083333333333333,Agree with proposition or proposal expressed by previous speaker,Unintelligible vocalization.,0
AP,PR,0.055555555555556,Agree with proposition or proposal expressed by previous speaker,Perform verbal move in game.,1
AP,ST,0.305555555555556,Agree with proposition or proposal expressed by previous speaker,Make a declarative statement.,1
AP,YY,0.444444444444444,Agree with proposition or proposal expressed by previous speaker,Make a word-like utterance without clear function.,0
CL,OO,0.177777777777778,Call attention to hearer by name or by substitute exclamations,Unintelligible vocalization.,0
CL,YY,0.755555555555556,Call attention to hearer by name or by substitute exclamations,Make a word-like utterance without clear function.,0
CT,OO,0.066666666666667,Correct provide correct verbal form in place of erroneous one.,Unintelligible vocalization.,0
CT,RT,0.266666666666667,Correct provide correct verbal form in place of erroneous one.,Repeat or imitate other's utterance.,1
CT,SA,0.066666666666667,Correct provide correct verbal form in place of erroneous one.,Answer a wh-question with a statement.,0
CT,ST,0.066666666666667,Correct provide correct verbal form in place of erroneous one.,Make a declarative statement.,1
CT,YY,0.533333333333333,Correct provide correct verbal form in place of erroneous one.,Make a word-like utterance without clear function.,0
DW,OO,0.333333333333333,Disagree with proposition expressed by previous speaker.,Unintelligible vocalization.,0
DW,ST,0.333333333333333,Disagree with proposition expressed by previous speaker.,Make a declarative statement.,1
DW,YY,0.333333333333333,Disagree with proposition expressed by previous speaker.,Make a word-like utterance without clear function.,0
EI,PR,0.173913043478261,Elicit imitation of word or sentence by modelling or by explicit command,Perform verbal move in game.,1
EI,RT,0.434782608695652,Elicit imitation of word or sentence by modelling or by explicit command,Repeat or imitate other's utterance.,1
EI,ST,0.086956521739131,Elicit imitation of word or sentence by modelling or by explicit command,Make a declarative statement.,1
EI,YY,0.217391304347826,Elicit imitation of word or sentence by modelling or by explicit command,Make a word-like utterance without clear function.,0
FP,OO,0.125,Ask for permission to carry out act.,Unintelligible vocalization.,0
FP,PA,0.125,Ask for permission to carry out act.,Permit hearer to perform act.,1
FP,PF,0.25,Ask for permission to carry out act.,Prohibit/forbid/protest hearer's performance of an act,1
FP,ST,0.125,Ask for permission to carry out act.,Make a declarative statement.,0
FP,TO,0.125,Ask for permission to carry out act.,Mark transfer of object to hearer,0
FP,YY,0.25,Ask for permission to carry out act.,Make a word-like utterance without clear function.,0
PM,OO,0.235294117647059,Praise for motor acts i.e for nonverbal behavior.,Unintelligible vocalization.,0
PM,RT,0.058823529411765,Praise for motor acts i.e for nonverbal behavior.,Repeat or imitate other's utterance.,0
PM,ST,0.058823529411765,Praise for motor acts i.e for nonverbal behavior.,Make a declarative statement.,1
PM,YY,0.647058823529412,Praise for motor acts i.e for nonverbal behavior.,Make a word-like utterance without clear function.,0
RR,OO,0.2,Request to repeat utterance.,Unintelligible vocalization.,0
RR,ST,0.066666666666667,Request to repeat utterance.,Make a declarative statement.,0
RR,YY,0.733333333333333,Request to repeat utterance.,Make a word-like utterance without clear function.,0
SA,OO,0.129032258064516,Answer a wh-question with a statement.,Unintelligible vocalization.,0
SA,PR,0.161290322580645,Answer a wh-question with a statement.,Perform verbal move in game.,1
SA,ST,0.064516129032258,Answer a wh-question with a statement.,Make a declarative statement.,1
SA,YY,0.612903225806452,Answer a wh-question with a statement.,Make a word-like utterance without clear function.,0
TX,OO,0.121951219512195,Read or recite written text aloud.,Unintelligible vocalization.,0
TX,YY,0.780487804878049,Read or recite written text aloud.,Make a word-like utterance without clear function.,0
CM,PF,0.133333333333333,Commiserate express sympathy for hearer's distress.,Prohibit/forbid/protest hearer's performance of an act,0
CM,RP,0.066666666666667,Commiserate express sympathy for hearer's distress.,Request propose or suggest an action for hearer or for hearer and speaker.,1
CM,YY,0.8,Commiserate express sympathy for hearer's distress.,Make a word-like utterance without clear function.,0
CS,PF,0.285714285714286,Counter-suggestion/ an indirect refusal.,Prohibit/forbid/protest hearer's performance of an act,1
CS,RP,0.142857142857143,Counter-suggestion/ an indirect refusal.,Request propose or suggest an action for hearer or for hearer and speaker.,1
CS,YY,0.571428571428571,Counter-suggestion/ an indirect refusal.,Make a word-like utterance without clear function.,0
DC,PF,0.5,Create a new state of affairs by declaration,Prohibit/forbid/protest hearer's performance of an act,0
DC,RP,0.25,Create a new state of affairs by declaration,Request propose or suggest an action for hearer or for hearer and speaker.,1
DC,YY,0.25,Create a new state of affairs by declaration,Make a word-like utterance without clear function.,0
EA,PR,0.470588235294118,Elicit onomatopoeic or animal sounds.,Perform verbal move in game.,1
EA,YY,0.5,Elicit onomatopoeic or animal sounds.,Make a word-like utterance without clear function.,0
RD,RP,0.5,Refuse to carry out an act requested or proposed by other.,Request propose or suggest an action for hearer or for hearer and speaker.,1
RD,ST,0.5,Refuse to carry out an act requested or proposed by other.,Make a declarative statement.,1
WD,RT,0.4,Warn of danger.,Repeat or imitate other's utterance.,1
WD,YY,0.6,Warn of danger.,Make a word-like utterance without clear function.,0
TQ,TA,0.333333333333333,Ask a limited-alternative yes/no question.,Answer a limited-alternative question.,1
TQ,TO,0.333333333333333,Ask a limited-alternative yes/no question.,Mark transfer of object to hearer,0
TQ,YY,0.333333333333333,Ask a limited-alternative yes/no question.,Make a word-like utterance without clear function.,0
PA,TO,0.25,Permit hearer to perform act.,Mark transfer of object to hearer,1
PA,YY,0.75,Permit hearer to perform act.,Make a word-like utterance without clear function.,0
AA,YY,1,Answer in the affirmative to yes/no question.,Make a word-like utterance without clear function.,0
CR,YY,1,Criticize or point out error in nonverbal act.,Make a word-like utterance without clear function.,0
DS,YY,1,Disapprove scold protest disruptive behavior.,Make a word-like utterance without clear function.,0
ED,YY,1,Exclaim in disapproval.,Make a word-like utterance without clear function.,0
GI,YY,1,Give in/ accept other's insistence or refusal.,Make a word-like utterance without clear function.,0
